epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,461.545,0,105.237,0,0,0,0,0,0,1052.68,0,0.00055011,0.00055011,0.00055011
2,912.319,0,64.5533,0,0,0,0,0,0,3697.04,0,0.0010328,0.0010328,0.0010328
3,1368.75,0,36.1694,0,0,0,0,0,0,40.7474,0,0.00144213,0.00144213,0.00144213
4,1815.13,0,16.7205,0,0,0,0,0,0,14.9169,0,0.00133693,0.00133693,0.00133693
5,2261.49,0,6.60302,0,0,0,0,0,0,6.25667,0,0.00122691,0.00122691,0.00122691
6,2705.78,0,2.47482,0,0,0,0,0,0,1.83399,0,0.00111689,0.00111689,0.00111689
7,3149.27,0,0.91737,0,0,0,0,0,0,0.82077,0,0.00100687,0.00100687,0.00100687
